ID,Date,Transaction,Transaction ID
1,2023-07-18 11:16:48,13445.03,4a02a7f6-a8ba-41c5-9437-2a39b7c803ff
2,2023-02-14 06:46:31,3545.27,4f70064d-11ca-4c7d-8441-9d7ca76b7ca3
3,2023-02-06 05:56:52,10049.41,02f9514b-c543-4c38-abfe-435ea0beee34
4,2023-06-04 19:49:26,5172.12,04f5f126-bda2-42b6-99df-4fca1d84b5a8
5,2023-04-19 11:21:42,11919.78,ec92c22f-70bf-4c7b-bc16-a3bc09823763
6,2023-09-30 19:00:49,-2869.38,09fd57de-889e-4aec-83c5-96a3d0ef103e
7,2023-05-29 21:59:42,-2796.25,a8a1f739-73d7-4afd-abf4-18e450c7f291
8,2023-03-24 15:25:35,2184.1,3971a860-b27b-4b4e-8eeb-66d9abe7a24b
9,2023-05-14 13:02:37,-5566.29,d8adc9de-391f-4aa4-add7-4de5a63725f3
10,2023-04-15 07:18:46,-4833.57,4fae59f1-43d7-44fc-b4ba-267d8f3d867f
11,2023-04-28 13:33:57,3154.74,502afe1a-c289-4121-9f6e-cdd97822574a
